method,method_label,iteration,point_idx,global_id,v0_mean,tau,A,R_safety,density,flow_ratio,y_simulated,y_std,dist_to_bound,is_boundary
M2_n50,M2: MultiStart (n=50),1,1,M2_n50_i1_p1,0.8000,0.8000,40.0000,0.8000,1.0000,0.5000,21.0493,3.6783,0.0000,YES
M2_n50,M2: MultiStart (n=50),1,2,M2_n50_i1_p2,0.8000,0.8000,40.0000,0.8000,1.0000,0.5000,21.5756,3.7059,0.0000,YES
M2_n50,M2: MultiStart (n=50),1,3,M2_n50_i1_p3,0.8000,0.8000,40.0000,1.6000,1.0000,0.5000,25.8713,7.7808,0.0000,YES
M2_n50,M2: MultiStart (n=50),1,4,M2_n50_i1_p4,0.8000,0.8000,40.0000,1.6000,1.0000,0.5000,22.7388,2.5110,0.0000,YES
M2_n50,M2: MultiStart (n=50),1,5,M2_n50_i1_p5,0.8000,0.8000,40.0000,1.6000,1.0000,0.5000,22.6796,3.0572,0.0000,YES
M2_n50,M2: MultiStart (n=50),1,6,M2_n50_i1_p6,0.8000,0.8000,10.0000,0.8000,1.0000,0.5000,16.5028,1.5351,0.0000,YES
M2_n50,M2: MultiStart (n=50),1,7,M2_n50_i1_p7,0.8000,0.8000,10.0000,0.8000,1.0000,0.5000,19.5650,1.8241,0.0000,YES
M2_n50,M2: MultiStart (n=50),1,8,M2_n50_i1_p8,0.8000,0.8000,10.0000,0.8000,1.0000,0.5000,19.4981,2.6509,0.0000,YES
M2_n50,M2: MultiStart (n=50),1,9,M2_n50_i1_p9,0.8000,0.8000,10.0000,1.6000,1.0000,0.5000,19.8485,2.4160,0.0000,YES
M2_n50,M2: MultiStart (n=50),1,10,M2_n50_i1_p10,0.8000,0.8000,10.0000,1.6000,1.0000,0.5000,22.3160,7.5588,0.0000,YES
M2_n50,M2: MultiStart (n=50),1,11,M2_n50_i1_p11,0.8000,0.8000,10.0000,1.6000,1.0000,0.5000,18.1248,1.3307,0.0000,YES
M2_n50,M2: MultiStart (n=50),1,12,M2_n50_i1_p12,0.8000,0.3000,10.0000,0.8000,1.0000,0.5000,16.4207,1.4365,0.0000,YES
M2_n50,M2: MultiStart (n=50),1,13,M2_n50_i1_p13,0.8000,0.3000,10.0000,1.6000,1.0000,0.5000,18.5257,3.5181,0.0000,YES
M2_n50,M2: MultiStart (n=50),1,14,M2_n50_i1_p14,0.8000,0.3000,10.0000,1.6000,1.0000,0.5000,18.6950,5.1608,0.0000,YES
M2_n50,M2: MultiStart (n=50),1,15,M2_n50_i1_p15,0.8000,0.3000,40.0000,1.6000,1.0000,0.5000,22.2642,7.0614,0.0000,YES
M2_n50,M2: MultiStart (n=50),1,16,M2_n50_i1_p16,0.8000,0.8000,40.0000,0.8000,0.1000,0.5000,13.7875,1.8353,0.0000,YES
M2_n50,M2: MultiStart (n=50),1,17,M2_n50_i1_p17,0.8000,0.8000,40.0000,0.8000,0.1000,0.5000,15.1562,2.1230,0.0000,YES
M2_n50,M2: MultiStart (n=50),1,18,M2_n50_i1_p18,0.8000,0.8000,10.0000,0.8000,0.1000,0.5000,14.0775,2.1483,0.0000,YES
M2_n50,M2: MultiStart (n=50),1,19,M2_n50_i1_p19,0.8000,0.3000,10.0000,0.8000,0.1000,0.5000,13.1575,1.2936,0.0000,YES
M2_n50,M2: MultiStart (n=50),1,20,M2_n50_i1_p20,0.8000,0.3000,40.0000,0.8000,0.1000,0.5000,14.3488,2.2786,0.0000,YES
M2_n50,M2: MultiStart (n=50),2,1,M2_n50_i2_p1,1.6000,0.8000,40.0000,1.6000,1.0000,0.5000,16.2775,4.3422,0.0000,YES
M2_n50,M2: MultiStart (n=50),2,2,M2_n50_i2_p2,1.6000,0.8000,40.0000,1.6000,1.0000,0.5000,12.8600,3.6196,0.0000,YES
M2_n50,M2: MultiStart (n=50),2,3,M2_n50_i2_p3,1.6000,0.8000,40.0000,1.6000,1.0000,0.5000,12.4268,3.5128,0.0000,YES
M2_n50,M2: MultiStart (n=50),2,4,M2_n50_i2_p4,1.6000,0.8000,40.0000,0.8000,1.0000,0.5000,10.8033,2.4427,0.0000,YES
M2_n50,M2: MultiStart (n=50),2,5,M2_n50_i2_p5,1.6000,0.3000,40.0000,1.6000,1.0000,0.5000,13.1451,5.1429,0.0000,YES
M2_n50,M2: MultiStart (n=50),2,6,M2_n50_i2_p6,1.6000,0.3000,40.0000,1.6000,1.0000,0.5000,11.4147,2.5472,0.0000,YES
M2_n50,M2: MultiStart (n=50),2,7,M2_n50_i2_p7,0.8000,0.8000,40.0000,0.8000,1.0000,0.0000,14.3523,1.1093,0.0000,YES
M2_n50,M2: MultiStart (n=50),2,8,M2_n50_i2_p8,0.8000,0.8000,40.0000,1.6000,0.1000,0.0000,13.5000,1.9877,0.0000,YES
M2_n50,M2: MultiStart (n=50),2,9,M2_n50_i2_p9,0.8000,0.8000,40.0000,1.6000,0.1000,0.0000,14.7363,3.0934,0.0000,YES
M2_n50,M2: MultiStart (n=50),2,10,M2_n50_i2_p10,0.8000,0.8000,40.0000,1.6000,0.1000,0.0000,14.1463,1.9209,0.0000,YES
M2_n50,M2: MultiStart (n=50),2,11,M2_n50_i2_p11,0.8000,0.8000,40.0000,0.8000,0.1000,0.0000,14.1363,2.5566,0.0000,YES
M2_n50,M2: MultiStart (n=50),2,12,M2_n50_i2_p12,1.6000,0.3000,40.0000,0.8000,1.0000,0.5000,8.0870,0.7682,0.0000,YES
