method,method_label,iteration,point_idx,global_id,v0_mean,tau,A,R_safety,density,flow_ratio,y_simulated,y_std,dist_to_bound,is_boundary
M5_Coreset,M5: Coreset,2,19,M5_Coreset_i2_p19,1.3333,0.7186,10.8598,1.5324,0.9529,0.4448,15.2191,6.1456,0.0287,YES
M5_Coreset,M5: Coreset,2,20,M5_Coreset_i2_p20,1.0915,0.3087,37.2657,1.5846,0.9317,0.4978,14.2768,3.1647,0.0045,YES
M5_Coreset,M5: Coreset,3,1,M5_Coreset_i3_p1,0.8198,0.3451,21.9194,1.1070,0.9980,0.4994,17.1837,1.9929,0.0011,YES
M5_Coreset,M5: Coreset,3,2,M5_Coreset_i3_p2,0.9957,0.7872,10.9464,0.8593,0.1606,0.0010,11.7090,1.3890,0.0019,YES
M5_Coreset,M5: Coreset,3,3,M5_Coreset_i3_p3,1.5908,0.3969,38.0491,0.8871,0.8460,0.0018,7.4350,0.3925,0.0036,YES
M5_Coreset,M5: Coreset,3,4,M5_Coreset_i3_p4,1.1823,0.7352,33.2950,1.5242,0.1115,0.4799,10.5175,1.6646,0.0128,YES
M5_Coreset,M5: Coreset,3,5,M5_Coreset_i3_p5,1.5744,0.3602,12.6913,1.5995,0.1343,0.1215,7.0862,0.6207,0.0006,YES
M5_Coreset,M5: Coreset,3,6,M5_Coreset_i3_p6,0.8751,0.7546,32.3103,1.5831,0.9113,0.0632,15.4917,1.0042,0.0212,YES
M5_Coreset,M5: Coreset,3,7,M5_Coreset_i3_p7,1.5239,0.7830,17.0977,0.9025,0.9372,0.4521,9.3888,1.8718,0.0340,YES
M5_Coreset,M5: Coreset,3,8,M5_Coreset_i3_p8,0.8736,0.4054,35.2835,1.0299,0.1023,0.0268,12.9775,1.7774,0.0025,YES
M5_Coreset,M5: Coreset,3,9,M5_Coreset_i3_p9,1.5346,0.4604,31.4850,1.5035,0.9908,0.3683,11.5110,4.1460,0.0102,YES
M5_Coreset,M5: Coreset,3,10,M5_Coreset_i3_p10,0.8301,0.7942,39.1438,0.8939,0.5747,0.2669,15.6721,0.8652,0.0115,YES
M5_Coreset,M5: Coreset,3,11,M5_Coreset_i3_p11,0.8531,0.3920,11.3199,1.3764,0.1399,0.3746,14.2725,1.6374,0.0440,YES
M5_Coreset,M5: Coreset,3,12,M5_Coreset_i3_p12,0.8175,0.5549,11.7471,0.8197,0.9693,0.1118,15.3193,1.2403,0.0218,YES
M5_Coreset,M5: Coreset,3,13,M5_Coreset_i3_p13,1.5882,0.3037,23.4388,0.8189,0.9075,0.4948,7.9846,0.6903,0.0074,YES
M5_Coreset,M5: Coreset,3,14,M5_Coreset_i3_p14,0.8785,0.7234,14.1705,1.5227,0.8567,0.4335,19.0363,5.2531,0.0966,NO
M5_Coreset,M5: Coreset,3,15,M5_Coreset_i3_p15,1.3473,0.5973,38.2081,0.8081,0.1635,0.4877,8.4390,0.4117,0.0101,YES
M5_Coreset,M5: Coreset,3,16,M5_Coreset_i3_p16,1.0270,0.3060,10.7259,0.8157,0.2095,0.0457,10.4675,0.5277,0.0121,YES
M5_Coreset,M5: Coreset,3,17,M5_Coreset_i3_p17,0.8944,0.7153,23.5694,1.5291,0.1284,0.0186,12.9200,1.5699,0.0315,YES
M5_Coreset,M5: Coreset,3,18,M5_Coreset_i3_p18,0.8062,0.3333,37.8635,1.5179,0.8709,0.2149,20.6344,5.6290,0.0078,YES
M5_Coreset,M5: Coreset,3,19,M5_Coreset_i3_p19,0.8913,0.7307,10.8213,0.8067,0.6118,0.4896,14.5196,0.8459,0.0083,YES
M5_Coreset,M5: Coreset,3,20,M5_Coreset_i3_p20,0.8135,0.3285,38.7039,1.3133,0.2047,0.4021,13.9200,0.7375,0.0169,YES
