method,method_label,iteration,point_idx,global_id,v0_mean,tau,A,R_safety,density,flow_ratio,y_simulated,y_std,dist_to_bound,is_boundary
M2_n20,M2: MultiStart (n=20),2,18,M2_n20_i2_p18,1.6000,0.8000,10.0000,0.8000,0.1000,0.0000,6.2988,0.3629,0.0000,YES
M2_n20,M2: MultiStart (n=20),2,19,M2_n20_i2_p19,1.6000,0.8000,10.0000,0.8000,0.1000,0.0000,6.3262,0.5231,0.0000,YES
M2_n20,M2: MultiStart (n=20),2,20,M2_n20_i2_p20,1.6000,0.3000,12.3228,0.8000,0.1000,0.5000,6.6450,0.3789,0.0000,YES
M2_n20,M2: MultiStart (n=20),3,1,M2_n20_i3_p1,1.6000,0.8000,40.0000,1.6000,1.0000,0.5000,12.8600,3.6196,0.0000,YES
M2_n20,M2: MultiStart (n=20),3,2,M2_n20_i3_p2,1.6000,0.8000,40.0000,1.6000,1.0000,0.5000,12.4268,3.5128,0.0000,YES
M2_n20,M2: MultiStart (n=20),3,3,M2_n20_i3_p3,0.8000,0.8000,40.0000,0.8000,1.0000,0.0000,13.9560,0.9900,0.0000,YES
M2_n20,M2: MultiStart (n=20),3,4,M2_n20_i3_p4,1.6000,0.3000,40.0000,1.6000,1.0000,0.5000,13.1451,5.1429,0.0000,YES
M2_n20,M2: MultiStart (n=20),3,5,M2_n20_i3_p5,0.8000,0.8000,40.0000,1.6000,1.0000,0.0000,14.0127,0.9429,0.0000,YES
M2_n20,M2: MultiStart (n=20),3,6,M2_n20_i3_p6,0.8000,0.3000,40.0000,1.6000,1.0000,0.5000,21.3491,9.2293,0.0000,YES
M2_n20,M2: MultiStart (n=20),3,7,M2_n20_i3_p7,0.8000,0.8000,40.0000,1.6000,1.0000,0.5000,25.7251,9.7551,0.0000,YES
M2_n20,M2: MultiStart (n=20),3,8,M2_n20_i3_p8,1.6000,0.3000,10.0000,1.6000,1.0000,0.5000,10.4487,3.3127,0.0000,YES
M2_n20,M2: MultiStart (n=20),3,9,M2_n20_i3_p9,0.8000,0.8000,10.0000,0.8000,0.1000,0.5000,14.5350,1.6935,0.0000,YES
M2_n20,M2: MultiStart (n=20),3,10,M2_n20_i3_p10,0.8000,0.3000,40.0000,0.8000,0.1000,0.5000,13.3988,1.3876,0.0000,YES
M2_n20,M2: MultiStart (n=20),3,11,M2_n20_i3_p11,0.8000,0.8000,40.0000,1.6000,0.1000,0.0000,14.3450,1.7476,0.0000,YES
M2_n20,M2: MultiStart (n=20),3,12,M2_n20_i3_p12,0.8000,0.3000,40.0000,1.6000,0.1000,0.0000,13.3500,2.1321,0.0000,YES
M2_n20,M2: MultiStart (n=20),3,13,M2_n20_i3_p13,0.8000,0.3000,10.0000,0.8000,1.0000,0.5000,16.0082,0.8888,0.0000,YES
M2_n20,M2: MultiStart (n=20),3,14,M2_n20_i3_p14,0.8000,0.8000,10.0000,0.8000,1.0000,0.5000,18.0836,2.7970,0.0000,YES
M2_n20,M2: MultiStart (n=20),3,15,M2_n20_i3_p15,0.8000,0.3000,27.3084,0.8000,0.1000,0.5000,14.5963,1.8877,0.0000,YES
M2_n20,M2: MultiStart (n=20),3,16,M2_n20_i3_p16,1.0724,0.8000,13.6823,1.6000,0.1000,0.5000,11.0138,1.2112,0.0000,YES
M2_n20,M2: MultiStart (n=20),3,17,M2_n20_i3_p17,0.8000,0.8000,10.0000,1.6000,0.1000,0.0000,13.3288,1.6500,0.0000,YES
M2_n20,M2: MultiStart (n=20),3,18,M2_n20_i3_p18,0.8000,0.3000,23.0694,1.6000,0.1000,0.5000,15.0725,2.4086,0.0000,YES
M2_n20,M2: MultiStart (n=20),3,19,M2_n20_i3_p19,1.6000,0.3000,10.0000,1.6000,0.1000,0.0000,6.2150,0.2133,0.0000,YES
M2_n20,M2: MultiStart (n=20),3,20,M2_n20_i3_p20,1.6000,0.3000,24.5003,0.8000,1.0000,0.0000,6.2907,0.0807,0.0000,YES
