method,method_label,iteration,point_idx,global_id,v0_mean,tau,A,R_safety,density,flow_ratio,y_simulated,y_std,dist_to_bound,is_boundary
M4_MC_Batch,M4: MC Batch,2,17,M4_MC_Batch_i2_p17,0.8183,0.5333,32.9185,1.3000,0.4409,0.1747,14.9250,1.4769,0.0229,YES
M4_MC_Batch,M4: MC Batch,2,18,M4_MC_Batch_i2_p18,1.1007,0.6827,39.4451,1.0358,0.1293,0.1344,9.9475,0.7983,0.0185,YES
M4_MC_Batch,M4: MC Batch,2,19,M4_MC_Batch_i2_p19,1.1032,0.5822,32.6465,1.2397,0.3046,0.1233,10.5811,1.2689,0.2274,NO
M4_MC_Batch,M4: MC Batch,2,20,M4_MC_Batch_i2_p20,0.8276,0.6391,21.3847,1.3087,0.3481,0.2070,15.0710,1.1906,0.0345,YES
M4_MC_Batch,M4: MC Batch,3,1,M4_MC_Batch_i3_p1,0.9971,0.6577,18.9545,0.9577,0.4131,0.3707,13.3325,1.2671,0.1971,NO
M4_MC_Batch,M4: MC Batch,3,2,M4_MC_Batch_i3_p2,1.2150,0.6319,29.1246,1.2033,0.5823,0.1003,10.3674,0.9490,0.2006,NO
M4_MC_Batch,M4: MC Batch,3,3,M4_MC_Batch_i3_p3,0.9520,0.3292,38.6540,1.2501,0.1536,0.3269,12.3300,1.3158,0.0449,YES
M4_MC_Batch,M4: MC Batch,3,4,M4_MC_Batch_i3_p4,0.8187,0.5587,10.0192,1.4673,0.7624,0.4942,18.2731,4.3930,0.0006,YES
M4_MC_Batch,M4: MC Batch,3,5,M4_MC_Batch_i3_p5,0.8098,0.3225,33.7345,1.0252,0.8813,0.4578,15.5871,1.8192,0.0122,YES
M4_MC_Batch,M4: MC Batch,3,6,M4_MC_Batch_i3_p6,0.8051,0.5044,34.4730,1.5272,0.7131,0.3759,19.7567,7.2425,0.0064,YES
M4_MC_Batch,M4: MC Batch,3,7,M4_MC_Batch_i3_p7,1.2757,0.6676,39.9645,0.8229,0.4681,0.1294,8.9218,0.5402,0.0012,YES
M4_MC_Batch,M4: MC Batch,3,8,M4_MC_Batch_i3_p8,1.1282,0.5049,16.5552,1.0626,0.1606,0.0582,10.2800,0.9852,0.0673,NO
M4_MC_Batch,M4: MC Batch,3,9,M4_MC_Batch_i3_p9,0.8802,0.6666,38.7591,1.5652,0.9757,0.4448,18.0171,2.5607,0.0270,YES
M4_MC_Batch,M4: MC Batch,3,10,M4_MC_Batch_i3_p10,0.8854,0.6567,27.1625,0.8045,0.5249,0.1117,13.5828,0.6920,0.0056,YES
M4_MC_Batch,M4: MC Batch,3,11,M4_MC_Batch_i3_p11,0.8710,0.3789,36.7494,1.5552,0.1413,0.2940,14.1638,1.6640,0.0459,YES
M4_MC_Batch,M4: MC Batch,3,12,M4_MC_Batch_i3_p12,1.5949,0.4111,37.0990,1.2355,0.3326,0.0274,7.2070,0.9083,0.0064,YES
M4_MC_Batch,M4: MC Batch,3,13,M4_MC_Batch_i3_p13,0.8478,0.3610,37.7474,1.3424,0.9129,0.4804,19.1911,5.6566,0.0392,YES
M4_MC_Batch,M4: MC Batch,3,14,M4_MC_Batch_i3_p14,0.8416,0.4680,21.1737,1.3319,0.2812,0.3443,14.1613,1.0708,0.0520,NO
M4_MC_Batch,M4: MC Batch,3,15,M4_MC_Batch_i3_p15,1.0950,0.4725,31.0350,1.1115,0.6986,0.3248,11.5957,1.6321,0.2988,NO
M4_MC_Batch,M4: MC Batch,3,16,M4_MC_Batch_i3_p16,0.8071,0.6864,19.1933,1.3478,0.7796,0.3857,21.4987,6.2603,0.0089,YES
M4_MC_Batch,M4: MC Batch,3,17,M4_MC_Batch_i3_p17,0.8003,0.7431,25.0801,1.5936,0.9032,0.2194,19.6755,3.0765,0.0004,YES
M4_MC_Batch,M4: MC Batch,3,18,M4_MC_Batch_i3_p18,0.9327,0.3701,23.7816,0.8386,0.1179,0.4891,12.3650,1.7374,0.0199,YES
M4_MC_Batch,M4: MC Batch,3,19,M4_MC_Batch_i3_p19,0.8597,0.3644,12.9919,1.2402,0.6704,0.4595,15.9213,1.7651,0.0746,NO
M4_MC_Batch,M4: MC Batch,3,20,M4_MC_Batch_i3_p20,0.8346,0.7763,17.0573,1.2522,0.9620,0.3916,21.9521,5.8895,0.0422,YES
